OID_UA_10|GEOID_UA_10|NAMELSAD_UA_10|AREALAND_UA_10|AREAWATER_UA_10|MTFCC_UA_10|FUNCSTAT_UA_10|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
|||||||27070402080131|00037|Abbeville, LA Urban Area|28823510|340389|G3500|S|2939029|110751
|||||||27070206937216|00064|Abbeville, SC Urban Area|12815034|6144|G3500|S|2695222|2536
|||||||27070206512613|00145|Aberdeen, SD Urban Area|35989073|183150|G3500|S|6267138|82166
|||||||27070479425190|00172|Aberdeen, WA Urban Area|28416189|1802207|G3500|S|903908|3497
|||||||27070349388741|00253|Abilene, KS Urban Area|9426821|1877|G3500|S|731382|0
|||||||27070710151230|00280|Abilene, TX Urban Area|160509868|1015710|G3500|S|29827413|42265
|||||||27070298394279|00388|Ada, OH Urban Area|5425263|0|G3500|S|809808|0
|||||||27070748123095|00415|Ada, OK Urban Area|36906552|32242|G3500|S|9702861|32242
|||||||2707032391317917|00442|Adairsville, GA Urban Area|13860065|0|G3500|S|4527786|0
|||||||2707050572530|00469|Adel, GA Urban Area|15827696|171671|G3500|S|1089155|47853
|||||||27070495746856|00496|Adel, IA Urban Area|7103711|16231|G3500|S|2588272|16231
|||||||2707082215496|00550|Adjuntas, PR Urban Area|12594208|1242|G3500|S|3929111|0
|||||||2707054746641|00577|Adrian, MI Urban Area|34641303|384850|G3500|S|2838109|4329
|||||||27070748123965|00604|Agat--Apra Harbor, GU Urban Area|10357136|0|G3500|S|1276888|0
|||||||2707082393387|00631|Aguadilla--Isabela--San Sebastián, PR Urban Area|485158099|371255|G3500|S|34895898|3775
|||||||27070708610195|00658|Ahoskie, NC Urban Area|8613935|0|G3500|S|1093022|0
|||||||2707032391318112|00660|Aibonito, PR Urban Area|34460553|63660|G3500|S|3836356|3147
|||||||27070347840717|00766|Akron, OH Urban Area|778645785|15073639|G3500|S|52373001|1588952
|||||||270701369416110|00820|Alamogordo, NM Urban Area|35564058|4382|G3500|S|1709153|0
|||||||2707086216012|00847|Alamosa, CO Urban Area|19903192|38995|G3500|S|3640880|0
|||||||2707091528308|00901|Albany, GA Urban Area|172252814|1905095|G3500|S|17525451|184692
|||||||27070248569364|00955|Albany, OR Urban Area|59695502|191140|G3500|S|5120296|2525
|||||||270704485573000|00970|Albany--Schenectady, NY Urban Area|702671342|14075226|G3500|S|42599618|1748232
|||||||27070164707430|00982|Albemarle, NC Urban Area|43150510|47629|G3500|S|5196845|0
|||||||27070193526771|01009|Albert Lea, MN Urban Area|27963336|1396477|G3500|S|5217942|2443
|||||||2707073801676|01036|Albertville, AL Urban Area|90243946|613266|G3500|S|12336483|400155
|||||||27070184571926|01090|Albion, MI Urban Area|12150862|136862|G3500|S|387373|24801
|||||||27070492975064|01171|Albuquerque, NM Urban Area|681352326|6964855|G3500|S|82404838|189011
|||||||27070299614599|01252|Alexander City, AL Urban Area|25354836|35945|G3500|S|3312381|0
|||||||2707032391318085|01273|Alexandria, IN Urban Area|9853044|11855|G3500|S|1842054|0
|||||||27070120234487|01279|Alexandria, LA Urban Area|167600150|1851472|G3500|S|27117172|1264128
|||||||27070205567667|01306|Alexandria, MN Urban Area|58462308|18928970|G3500|S|24452314|14089473
|||||||27070130539993|01387|Algona, IA Urban Area|8681037|16085|G3500|S|1900370|0
|||||||27070388919395|01414|Alice, TX Urban Area|25980592|0|G3500|S|1227115|0
|||||||27070160141941|01441|Allegan, MI Urban Area|17817488|2275950|G3500|S|5654605|2128410
|||||||2707032391317873|01450|Allendale, MI Urban Area|27311451|158913|G3500|S|4405919|149187
|||||||27070211205563|01495|Allentown--Bethlehem, PA--NJ Urban Area|677400838|9302819|G3500|S|69459130|1691990
