OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|AREALAND_PART|AREAWATER_PART
|||||||221704258615104|00802|ZCTA5 00802|77269356|30085012|G6350|B5|S|77269356|30085012
|||||||221704258615204|00820|ZCTA5 00820|111685261|13196002|G6350|B5|S|111685261|13196002
|||||||221704258615209|00830|ZCTA5 00830|50211282|24036673|G6350|B5|S|50211282|24036673
|||||||221704258615212|00840|ZCTA5 00840|80276060|4045556|G6350|B5|S|80276060|4045556
|||||||221704258615217|00850|ZCTA5 00850|22223184|382853|G6350|B5|S|22223184|382853
|||||||221704258615242|00851|ZCTA5 00851|961179|0|G6350|B5|S|961179|0
|||||||221704258584776|96799|ZCTA5 96799|197654133|6550891|G6350|B5|S|197654133|6550891
|||||||221704258584881|96950|ZCTA5 96950|118890997|185857|G6350|B5|S|118890997|185857
|||||||221704258584910|96951|ZCTA5 96951|85096798|19201|G6350|B5|S|85096798|19201
|||||||221704258585047|96952|ZCTA5 96952|101224486|728663|G6350|B5|S|101224486|728663
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|221704258282313|35564|ZCTA5 35564|177177970|350045|G6350|B5|S|12557861|149407
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|221704258282341|35565|ZCTA5 35565|724555135|2230829|G6350|B5|S|42449309|101328
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|221704258282381|35571|ZCTA5 35571|160971601|4368059|G6350|B5|S|125329942|4308361
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|221704258282458|35581|ZCTA5 35581|312159231|3422062|G6350|B5|S|274206907|2371011
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|221704258282470|35582|ZCTA5 35582|234927041|1444568|G6350|B5|S|234927041|1444568
