OID_COUSUB_20|GEOID_COUSUB_20|NAMELSAD_COUSUB_20|AREALAND_COUSUB_20|AREAWATER_COUSUB_20|MTFCC_COUSUB_20|CLASSFP_COUSUB_20|FUNCSTAT_COUSUB_20|OID_COUSUB_10|GEOID_COUSUB_10|NAMELSAD_COUSUB_10|AREALAND_COUSUB_10|AREAWATER_COUSUB_10|MTFCC_COUSUB_10|CLASSFP_COUSUB_10|FUNCSTAT_COUSUB_10|AREALAND_PART|AREAWATER_PART
27690540069250|0100190171|Autaugaville CCD|478151753|13897907|G4040|Z5|S|27640540069250|0100190171|Autaugaville CCD|478179507|13897907|G4040|Z5|S|478151753|13897907
27690540069251|0100190315|Billingsley CCD|386865283|1575402|G4040|Z5|S|27640540069250|0100190171|Autaugaville CCD|478179507|13897907|G4040|Z5|S|27754|0
27690540069251|0100190315|Billingsley CCD|386865283|1575402|G4040|Z5|S|27640540069251|0100190315|Billingsley CCD|386837529|1575402|G4040|Z5|S|386837529|1575402
27690540069252|0100192106|Marbury CCD|292756817|516152|G4040|Z5|S|27640540069252|0100192106|Marbury CCD|292756817|516152|G4040|Z5|S|292756817|516152
27690540069253|0100192628|Prattville CCD|381860331|9685351|G4040|Z5|S|27640540069253|0100192628|Prattville CCD|381860331|9685351|G4040|Z5|S|381860331|9685351
27690114112821|0100390207|Bay Minette CCD|1338311058|27517354|G4040|Z5|S|27640114112821|0100390207|Bay Minette CCD|1339006037|27541586|G4040|Z5|S|1338311058|26908982
27690114112821|0100390207|Bay Minette CCD|1338311058|27517354|G4040|Z5|S|27640114112822|0100390846|Daphne CCD|296659765|142372982|G4040|Z5|S|0|608372
27690114112822|0100390846|Daphne CCD|297354744|142397214|G4040|Z5|S|27640114112821|0100390207|Bay Minette CCD|1339006037|27541586|G4040|Z5|S|694979|632604
27690114112822|0100390846|Daphne CCD|297354744|142397214|G4040|Z5|S|27640114112822|0100390846|Daphne CCD|296659765|142372982|G4040|Z5|S|296659765|141764610
27690114112823|0100390963|Elberta CCD|316083111|47357360|G4040|Z5|S|27640114112823|0100390963|Elberta CCD|316083022|47389693|G4040|Z5|S|316083022|47350330
27690114112823|0100390963|Elberta CCD|316083111|47357360|G4040|Z5|S|27640114112825|0100391152|Foley CCD|451328757|677200790|G4040|Z5|S|89|7030
27690114112824|0100391053|Fairhope CCD|170338498|195931527|G4040|Z5|S|27640114112824|0100391053|Fairhope CCD|170338498|195931527|G4040|Z5|S|170338498|195931527
27690114112825|0100391152|Foley CCD|451328668|677233123|G4040|Z5|S|27640114112823|0100390963|Elberta CCD|316083022|47389693|G4040|Z5|S|0|39363
27690114112825|0100391152|Foley CCD|451328668|677233123|G4040|Z5|S|27640114112825|0100391152|Foley CCD|451328757|677200790|G4040|Z5|S|451328668|677193760
27690114112826|0100392754|Robertsdale CCD|442209193|4246848|G4040|Z5|S|27640114112826|0100392754|Robertsdale CCD|442209193|4246848|G4040|Z5|S|442209193|4246848
27690114112827|0100393024|Stockton CCD|971527026|37552076|G4040|Z5|S|27640114112827|0100393024|Stockton CCD|971527026|37552076|G4040|Z5|S|971527026|37552076
27690114112828|0100393042|Summerdale CCD|130503901|720539|G4040|Z5|S|27640114112828|0100393042|Summerdale CCD|130503901|720539|G4040|Z5|S|130503901|720539
27690540765821|0100590189|Bakerhill CCD|333715685|9982138|G4040|Z5|S|27640540765821|0100590189|Bakerhill CCD|333715685|9982138|G4040|Z5|S|333715685|9982138
27690540765823|0100590630|Clayton CCD|517006044|983621|G4040|Z5|S|27640540765823|0100590630|Clayton CCD|517006044|983621|G4040|Z5|S|517006044|983621
27690540765827|0100590648|Clio CCD|343319539|397957|G4040|Z5|S|27640540765827|0100590648|Clio CCD|343319539|397957|G4040|Z5|S|343319539|397957
27690540765829|0100591017|Eufaula CCD|745322169|38659527|G4040|Z5|S|27640540765829|0100591017|Eufaula CCD|745322169|38659527|G4040|Z5|S|745322169|38659527
27690540765830|0100591989|Louisville CCD|352796712|499970|G4040|Z5|S|27640540765830|0100591989|Louisville CCD|352796712|499970|G4040|Z5|S|352796712|499970
2769099719302|0100790531|Centreville-Brent CCD|1005054337|4335179|G4040|Z5|S|2764099719302|0100790531|Centreville-Brent CCD|1001784784|4334522|G4040|Z5|S|1001691944|4334522
2769099719302|0100790531|Centreville-Brent CCD|1005054337|4335179|G4040|Z5|S|2764099719303|0100792601|Piper-Coleanor CCD|194077662|2016669|G4040|Z5|S|37195|0
2769099719302|0100790531|Centreville-Brent CCD|1005054337|4335179|G4040|Z5|S|2764099719304|0100793438|West Blocton CCD|416326271|3221112|G4040|Z5|S|3325198|657
