OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_PUMA5_10|GEOID_PUMA5_10|NAMELSAD_PUMA5_10|AREALAND_PUMA5_10|AREAWATER_PUMA5_10|MTFCC_PUMA5_10|FUNCSTAT_PUMA5_10|AREALAND_PART|AREAWATER_PART
|||||||217404475226939|7800100|U.S. Virgin Islands PUMA|348021914|1550236187|G6120|S|348021914|1550236187
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|217404485026315|0100100|Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA|5402914269|247612422|G6120|S|4907736657|245406362
217704485028188|0100200|Limestone County PUMA|1450296914|122310594|G6120|S|217404485028188|0100200|Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA|2680358329|141474475|G6120|S|1450296914|122310594
2177029550585383|0100300|Morgan & Lawrence Counties--Decatur City PUMA|3290201795|118878930|G6120|S|217404485040178|0100600|Morgan & Lawrence Counties--Decatur City PUMA|3290201795|118878930|G6120|S|3290201795|118878930
2177029550585392|0100401|Madison County (North & East)--Huntsville City (East) PUMA|1165630934|5674498|G6120|S|217404485028188|0100200|Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA|2680358329|141474475|G6120|S|996424703|4502657
2177029550585392|0100401|Madison County (North & East)--Huntsville City (East) PUMA|1165630934|5674498|G6120|S|217404485040881|0100302|Huntsville City (Central & South) PUMA|161118283|1277368|G6120|S|125|0
2177029550585392|0100401|Madison County (North & East)--Huntsville City (East) PUMA|1165630934|5674498|G6120|S|217404485040916|0100500|Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA|1914287586|155931197|G6120|S|169206106|1171841
2177029550585375|0100402|Huntsville (North & Far West), Madison (East) & Triana Cities PUMA|467760017|15241827|G6120|S|217404485028188|0100200|Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA|2680358329|141474475|G6120|S|231381168|14330355
2177029550585375|0100402|Huntsville (North & Far West), Madison (East) & Triana Cities PUMA|467760017|15241827|G6120|S|217404485040752|0100301|Huntsville (North) & Madison (East) Cities PUMA|236202913|909047|G6120|S|236202913|909047
2177029550585375|0100402|Huntsville (North & Far West), Madison (East) & Triana Cities PUMA|467760017|15241827|G6120|S|217404485040881|0100302|Huntsville City (Central & South) PUMA|161118283|1277368|G6120|S|175936|2425
2177029550585389|0100403|Huntsville City (Central & South) PUMA|163234632|1597586|G6120|S|217404485028188|0100200|Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA|2680358329|141474475|G6120|S|2253780|330869
2177029550585389|0100403|Huntsville City (Central & South) PUMA|163234632|1597586|G6120|S|217404485040881|0100302|Huntsville City (Central & South) PUMA|161118283|1277368|G6120|S|160941144|1266163
2177029550585389|0100403|Huntsville City (Central & South) PUMA|163234632|1597586|G6120|S|217404485040916|0100500|Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA|1914287586|155931197|G6120|S|39708|554
2177029550585377|0100501|Marshall & Madison (Far Southeast) Counties PUMA|1745042850|154767582|G6120|S|217404485040881|0100302|Huntsville City (Central & South) PUMA|161118283|1277368|G6120|S|1078|8780
2177029550585377|0100501|Marshall & Madison (Far Southeast) Counties PUMA|1745042850|154767582|G6120|S|217404485040916|0100500|Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA|1914287586|155931197|G6120|S|1745041772|154758802
217704485040178|0100600|DeKalb & Jackson Counties PUMA|4804664916|130441843|G6120|S|217404485028788|0100400|DeKalb & Jackson Counties PUMA|4804664916|130441843|G6120|S|4804664916|130441843
217704485040743|0100700|Etowah & Cherokee Counties PUMA|2819537620|155333779|G6120|S|217404485040918|0100900|Etowah County PUMA|1385916770|35022972|G6120|S|1385916770|35022972
217704485040743|0100700|Etowah & Cherokee Counties PUMA|2819537620|155333779|G6120|S|217404485029710|0101000|Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA|7860507659|198102056|G6120|S|1433620850|120310807
217704485040925|0100800|Calhoun County PUMA|1569246127|16536293|G6120|S|217404485040478|0101100|Calhoun County PUMA|1569246127|16536293|G6120|S|1569246127|16536293
