OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_COUSUB_20|GEOID_COUSUB_20|NAMELSAD_COUSUB_20|AREALAND_COUSUB_20|AREAWATER_COUSUB_20|MTFCC_COUSUB_20|CLASSFP_COUSUB_20|FUNCSTAT_COUSUB_20|AREALAND_PART|AREAWATER_PART
|||||||27690590833492|6001037700|Ituau county|12986619|51344770|G4040|T1|A|12986619|51344770
|||||||27690590833493|6001051300|Ma'oputasi county|17111108|30945042|G4040|T1|A|17111108|30945042
|||||||27690590833494|6001067300|Sa'ole county|5954576|47875714|G4040|T1|A|5954576|47875714
|||||||27690590833495|6001072100|Sua county|17200142|63697222|G4040|T1|A|17200142|63697222
|||||||27690590833496|6001086500|Vaifanua county|11872421|155861930|G4040|T1|A|11872421|155861930
|||||||27690604183531|6002031300|Faleasao county|6931132|25969103|G4040|T1|A|6931132|25969103
|||||||27690604183532|6002034500|Fitiuta county|22328163|135771810|G4040|T1|A|22328163|135771810
|||||||27690604183533|6002059300|Ofu county|7310058|110304547|G4040|T1|A|7310058|110304547
|||||||27690604183534|6002060900|Olosega county|5178696|88318478|G4040|T1|A|5178696|88318478
|||||||27690604183535|6002078500|Ta'u county|15872944|103874106|G4040|T1|A|15872944|103874106
|||||||27690601921403|6003065700|Rose Island|82093|147383994|G4040|Z1|N|82093|147383994
|||||||27690603966607|6004073700|Swains Island|2432605|149170816|G4040|Z1|N|2432605|149170816
|||||||27690616602992|6005042500|Lealataua county|23195677|104696103|G4040|T1|A|23195677|104696103
|||||||27690616602993|6005043300|Leasina county|18709311|13616700|G4040|T1|A|18709311|13616700
|||||||27690616602994|6005080100|Tualatai county|6712094|27635176|G4040|T1|A|6712094|27635176
|||||||27690616602995|6005080900|Tualauta county|23881430|50778240|G4040|T1|A|23881430|50778240
|||||||276903549142434|6908500000|Municipality subdivision not defined|0|2939153755|G4040|Z9|F|0|2939153755
|||||||27690603966355|6908514075|District 4|160067127|345536|G4040|Z1|N|160067127|345536
|||||||27690460573320|6910000000|Municipality subdivision not defined|0|539073596|G4040|Z9|F|0|539073596
|||||||27690460573264|6910014290|District 7|85096798|19201|G4040|Z1|N|85096798|19201
|||||||27690605002103|6911000000|Municipality subdivision not defined|0|532581504|G4040|Z9|F|0|532581504
|||||||27690605002094|6911013750|District 1|25979977|0|G4040|Z1|N|25979977|0
|||||||27690605002095|6911013900|District 2|4100929|185857|G4040|Z1|N|4100929|185857
|||||||27690605002100|6911014050|District 3|24850897|0|G4040|Z1|N|24850897|0
|||||||27690605002097|6911014150|District 4|39666874|0|G4040|Z1|N|39666874|0
|||||||27690605002098|6911014200|District 5|24292320|0|G4040|Z1|N|24292320|0
|||||||27690601916623|6912000000|Municipality subdivision not defined|0|631556652|G4040|Z9|F|0|631556652
|||||||27690601916622|6912014270|District 6|108237606|1336357|G4040|Z1|N|108237606|1336357
|||||||27690230219840|7801000000|Island subdivision not defined|0|643567389|G4040|Z9|F|0|643567389
|||||||27690230219853|7801004600|Anna's Hope Village subdistrict|25608152|46086|G4040|Z5|N|25608152|46086
|||||||27690230219854|7801020800|Christiansted subdistrict|1970069|0|G4040|Z5|N|1970069|0
|||||||27690230219855|7801031600|East End subdistrict|33371865|1160625|G4040|Z5|N|33371865|1160625
|||||||27690230219856|7801038800|Frederiksted subdistrict|3575428|47112|G4040|Z5|N|3575428|47112
|||||||27690230219857|7801059500|Northcentral subdistrict|32801441|62635|G4040|Z5|N|32801441|62635
|||||||27690230219858|7801062200|Northwest subdistrict|47213110|36159|G4040|Z5|N|47213110|36159
|||||||27690230219859|7801071200|Sion Farm subdistrict|24342860|0|G4040|Z5|N|24342860|0
|||||||27690230219860|7801073900|Southcentral subdistrict|32745213|92156|G4040|Z5|N|32745213|92156
|||||||27690230219861|7801075700|Southwest subdistrict|14286843|632692|G4040|Z5|N|14286843|632692
|||||||27690228777262|7802000000|Island subdivision not defined|0|186315859|G4040|Z9|F|0|186315859
|||||||27690228777264|7802015400|Central subdistrict|34208738|204325|G4040|Z5|N|34208738|204325
|||||||27690228777265|7802027100|Coral Bay subdistrict|7274823|0|G4040|Z5|N|7274823|0
|||||||27690228777266|7802028900|Cruz Bay subdistrict|7137495|80475|G4040|Z5|N|7137495|80475
|||||||27690228777267|7802033400|East End subdistrict|2376997|69752|G4040|Z5|N|2376997|69752
|||||||27690228285132|7803000000|Island subdivision not defined|0|717713874|G4040|Z9|F|0|717713874
|||||||27690228285158|7803017200|Charlotte Amalie subdistrict|8700882|1354|G4040|Z5|N|8700882|1354
