OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
|||||||27070228306010|15697|Charlotte Amalie, VI Urban Area|60996780|436682|G3500|S|60996780|436682
|||||||27070230244327|16750|Christiansted--Frederiksted, VI Urban Area|89028187|179432|G3500|S|89028187|179432
|||||||27070228802925|21475|Cruz Bay, VI Urban Area|8045975|45755|G3500|S|8045975|45755
|||||||270704476407200|32506|Garapan, MP Urban Area|44668702|185857|G3500|S|44668702|185857
|||||||270704477767617|86369|Tafuna--Pago Pago, AS Urban Area|38957303|1628266|G3500|S|38957303|1628266
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S||||||||4748254984|245004408
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|27070106290498|29953|Florence, AL Urban Area|141482263|367280|G3500|S|141482263|367280
217704485026315|0100100|Lauderdale, Colbert & Franklin Counties PUMA|4907736657|245406362|G6120|S|27070106290499|76906|Russellville, AL Urban Area|17999410|34674|G3500|S|17999410|34674
217704485028188|0100200|Limestone County PUMA|1450296914|122310594|G6120|S||||||||1343677869|121795126
217704485028188|0100200|Limestone County PUMA|1450296914|122310594|G6120|S|2707085573994|03655|Athens, AL Urban Area|52039316|299071|G3500|S|52039316|299071
217704485028188|0100200|Limestone County PUMA|1450296914|122310594|G6120|S|2707074743319|22690|Decatur, AL Urban Area|112586219|1051392|G3500|S|4085321|58951
217704485028188|0100200|Limestone County PUMA|1450296914|122310594|G6120|S|2707065843876|40780|Huntsville, AL Urban Area|556245247|2626676|G3500|S|50494408|157446
2177029550585383|0100300|Morgan & Lawrence Counties--Decatur City PUMA|3290201795|118878930|G6120|S||||||||3145679236|117748460
2177029550585383|0100300|Morgan & Lawrence Counties--Decatur City PUMA|3290201795|118878930|G6120|S|2707074743319|22690|Decatur, AL Urban Area|112586219|1051392|G3500|S|108500898|992441
2177029550585383|0100300|Morgan & Lawrence Counties--Decatur City PUMA|3290201795|118878930|G6120|S|2707032391317897|37351|Hartselle, AL Urban Area|36021661|138029|G3500|S|36021661|138029
2177029550585392|0100401|Madison County (North & East)--Huntsville City (East) PUMA|1165630934|5674498|G6120|S||||||||1030383855|5142604
2177029550585392|0100401|Madison County (North & East)--Huntsville City (East) PUMA|1165630934|5674498|G6120|S|2707065843876|40780|Huntsville, AL Urban Area|556245247|2626676|G3500|S|110126422|437732
2177029550585392|0100401|Madison County (North & East)--Huntsville City (East) PUMA|1165630934|5674498|G6120|S|2707032391317898|40813|Huntsville Southeast, AL Urban Area|27750195|98506|G3500|S|25120657|94162
2177029550585375|0100402|Huntsville (North & Far West), Madison (East) & Triana Cities PUMA|467760017|15241827|G6120|S||||||||210760485|13753126
2177029550585375|0100402|Huntsville (North & Far West), Madison (East) & Triana Cities PUMA|467760017|15241827|G6120|S|2707065843876|40780|Huntsville, AL Urban Area|556245247|2626676|G3500|S|256999532|1488701
2177029550585389|0100403|Huntsville City (Central & South) PUMA|163234632|1597586|G6120|S||||||||25695426|1054789
2177029550585389|0100403|Huntsville City (Central & South) PUMA|163234632|1597586|G6120|S|2707065843876|40780|Huntsville, AL Urban Area|556245247|2626676|G3500|S|137539206|542797
2177029550585377|0100501|Marshall & Madison (Far Southeast) Counties PUMA|1745042850|154767582|G6120|S||||||||1633790374|153872262
2177029550585377|0100501|Marshall & Madison (Far Southeast) Counties PUMA|1745042850|154767582|G6120|S|2707073801676|01036|Albertville, AL Urban Area|90243946|613266|G3500|S|86014907|613266
2177029550585377|0100501|Marshall & Madison (Far Southeast) Counties PUMA|1745042850|154767582|G6120|S|2707073801677|02791|Arab, AL Urban Area|22520970|279456|G3500|S|21522352|277710
2177029550585377|0100501|Marshall & Madison (Far Southeast) Counties PUMA|1745042850|154767582|G6120|S|2707065843876|40780|Huntsville, AL Urban Area|556245247|2626676|G3500|S|1085679|0
2177029550585377|0100501|Marshall & Madison (Far Southeast) Counties PUMA|1745042850|154767582|G6120|S|2707032391317898|40813|Huntsville Southeast, AL Urban Area|27750195|98506|G3500|S|2629538|4344
217704485040178|0100600|DeKalb & Jackson Counties PUMA|4804664916|130441843|G6120|S||||||||4742147211|130411335
217704485040178|0100600|DeKalb & Jackson Counties PUMA|4804664916|130441843|G6120|S|27070111545077|30844|Fort Payne, AL Urban Area|22392683|30508|G3500|S|22392683|30508
217704485040178|0100600|DeKalb & Jackson Counties PUMA|4804664916|130441843|G6120|S|2707065184795|80092|Scottsboro, AL Urban Area|31970898|0|G3500|S|31970898|0
217704485040178|0100600|DeKalb & Jackson Counties PUMA|4804664916|130441843|G6120|S|270704485566805|83377|South Pittsburg--Bridgeport, TN--AL Urban Area|14306706|0|G3500|S|8154124|0
217704485040743|0100700|Etowah & Cherokee Counties PUMA|2819537620|155333779|G6120|S||||||||2656777740|150078235
217704485040743|0100700|Etowah & Cherokee Counties PUMA|2819537620|155333779|G6120|S|2707073801676|01036|Albertville, AL Urban Area|90243946|613266|G3500|S|4229039|0
217704485040743|0100700|Etowah & Cherokee Counties PUMA|2819537620|155333779|G6120|S|27070112690948|32113|Gadsden, AL Urban Area|158530841|5255544|G3500|S|158530841|5255544
217704485040925|0100800|Calhoun County PUMA|1569246127|16536293|G6120|S||||||||1379518939|15514281
217704485040925|0100800|Calhoun County PUMA|1569246127|16536293|G6120|S|27070103026869|02629|Anniston--Oxford, AL Urban Area|204340445|1108735|G3500|S|189727188|1022012
217704485040918|0100900|St. Clair & Blount Counties PUMA|3306018822|71292066|G6120|S||||||||3212514240|70540462
217704485040918|0100900|St. Clair & Blount Counties PUMA|3306018822|71292066|G6120|S|2707074307312|07786|Birmingham, AL Urban Area|1319007575|9300252|G3500|S|45956462|427613
217704485040918|0100900|St. Clair & Blount Counties PUMA|3306018822|71292066|G6120|S|27070100196225|65485|Oneonta, AL Urban Area|11325973|1452|G3500|S|11325973|1452
